"name","Team_y","Position_y","HANDED","GP","G","A","P","Sh","Sh_perc","SALARY","PIM","Giveaways","Takeaways","Hits","Hits.Taken","blocked_shots","PlusMinus"
"Zemgus Girgensons","BUF","C","Left",68,12,7,19,85,0.14,"$1,600,000",10,11,13,110,71,20,-1
"Zack Smith","CHI","C","Left",50,4,7,11,43,0.09,"$3,250,000",29,14,21,112,71,18,2
"Zack Kassian","EDM","W","Right",59,15,19,34,99,0.15,"$2,000,000",69,45,26,157,54,8,0
"Zach Parise","MIN","W","Left",69,25,21,46,155,0.16,"$9,000,000",8,22,21,27,60,38,-11
"Zach Hyman","TOR","W","Right",51,21,16,37,106,0.2,"$2,500,000",23,16,32,52,101,23,13
"Zach Bogosian","BUF, T.B","D","Right",27,1,6,7,29,0.03,"$6,000,000",22,11,4,30,21,27,0
"Zach Bogosian","BUF, T.B","D","Right",27,1,6,7,29,0.03,"$1,300,000",22,11,4,30,21,27,0
"Zach Aston-Reese","PIT","C","Left",57,6,7,13,98,0.06,"$1,000,000",28,21,20,136,99,30,6
"Yanni Gourde","T.B","C","Left",70,10,20,30,110,0.09,"$6,300,000",49,14,48,78,114,20,-5
"William Nylander","TOR","W","Right",68,31,28,59,197,0.16,"$9,000,000",12,41,42,9,66,14,-2
"William Karlsson","VGK","C","Left",63,15,31,46,138,0.11,"$5,900,000",16,37,54,40,94,38,11
"William Carrier","VGK","W","Left",70,7,12,19,99,0.07,"$725,000",39,8,22,213,129,11,0
"Will Butcher","N.J","D","Left",55,4,17,21,62,0.06,"$3,500,000",6,27,10,31,54,75,-8
"Wayne Simmonds","BUF, N.J","W","Right",68,8,17,25,119,0.07,"$5,000,000",66,18,27,145,63,29,-21
"Vladislav Namestnikov","COL, NYR, OTT","W","Left",65,17,14,31,98,0.17,"$4,000,000",45,28,25,108,74,47,-5
"Vladislav Kamenev","COL","C","Left",38,1,7,8,32,0.03,"$750,000",8,7,18,34,21,16,-2
"Vladimir Tarasenko","STL","W","Left",10,3,7,10,26,0.12,"$9,500,000",0,5,3,17,4,7,-2
"Vladimir Sobotka","BUF","C","Left",16,1,2,3,23,0.04,"$3,000,000",4,3,3,26,18,7,2
"Vinnie Hinostroza","ARI","W","Right",69,5,17,22,132,0.04,"$1,500,000",14,20,30,51,94,26,1
"Vincent Trocheck","CAR, FLA","C","Right",62,11,27,38,141,0.08,"$5,250,000",49,64,51,101,96,37,-8
"Viktor Arvidsson","NSH","W","Right",57,15,13,28,127,0.12,"$4,250,000",26,24,15,27,88,24,-4
"Victor Rask","MIN","C","Left",43,5,8,13,38,0.13,"$4,000,000",6,5,13,26,22,8,7
"Victor Hedman","T.B","D","Left",66,11,44,55,155,0.07,"$8,000,000",31,40,47,73,73,98,27
"Valeri Nichushkin","COL","W","Left",64,13,14,27,113,0.12,"$3,200,000",14,18,38,84,55,22,26
"Valeri Nichushkin","COL","W","Left",64,13,14,27,113,0.12,"$850,000",14,18,38,84,55,22,26
"Tyson Barrie","TOR","D","Right",70,5,34,39,169,0.03,"$6,000,000",16,62,16,47,118,76,-7
"Tyler Toffoli","L.A, VAN","W","Right",68,24,20,44,203,0.12,"$4,800,000",20,34,35,48,65,16,-1
"Tyler Seguin","DAL","C","Right",69,17,33,50,245,0.07,"$13,500,000",22,52,34,90,31,31,-2
"Tyler Pitlick","PHI","C","Right",63,8,12,20,76,0.11,"$1,000,000",12,15,28,132,110,42,11
"Tyler Myers","VAN","D","Right",68,6,15,21,134,0.04,"$7,000,000",49,41,42,99,79,108,-7
"Tyler Motte","VAN","C","Left",33,4,4,8,38,0.11,"$975,000",10,9,16,118,37,37,-10
"Tyler Johnson","T.B","C","Right",65,14,17,31,113,0.12,"$5,500,000",16,20,14,62,43,22,9
"Tyler Ennis","EDM, OTT","W","Left",70,16,21,37,159,0.1,"$800,000",20,19,26,96,110,26,-6
"Tyler Bozak","STL","C","Right",67,13,16,29,109,0.12,"$5,250,000",10,20,29,32,43,33,0
"Tyler Bertuzzi","DET","W","Left",71,21,27,48,129,0.16,"$1,400,000",40,57,25,71,80,30,-23
"Tucker Poolman","WPG","D","Right",57,4,12,16,64,0.06,"$825,000",24,46,14,58,79,59,-1
"Troy Stecher","VAN","D","Right",68,5,12,17,86,0.06,"$2,325,000",32,25,16,69,118,70,10
"Troy Brouwer","STL","W","Right",13,1,0,1,12,0.08,"$4,500,000",7,2,1,24,8,6,1
"Troy Brouwer","STL","W","Right",13,1,0,1,12,0.08,"$750,000",7,2,1,24,8,6,1
"Trevor van Riemsdyk","CAR","D","Right",50,1,7,8,58,0.02,"$2,500,000",10,17,13,21,33,37,-7
"Trevor Moore","L.A, TOR","C","Left",42,6,4,10,60,0.1,"$750,000",6,20,21,60,56,17,-4
"Trevor Lewis","L.A","C","Right",57,6,6,12,92,0.07,"$2,000,000",16,14,11,68,72,22,-7
"Trevor Daley","DET","D","Left",44,0,7,7,37,0,"$2,200,000",20,21,5,9,24,44,-22
"Travis Zajac","N.J","C","Right",69,9,16,25,72,0.13,"$5,750,000",28,17,36,58,41,39,-12
"Travis Sanheim","PHI","D","Left",69,8,17,25,110,0.07,"$3,250,000",32,53,22,41,97,79,4
"Travis Konecny","PHI","W","Right",66,24,37,61,141,0.17,"$4,000,000",28,47,29,63,100,30,-1
"Travis Hamonic","CGY","D","Right",50,3,9,12,83,0.04,"$4,875,000",27,36,21,39,79,110,-3
"Travis Boyd","WSH","C","Right",24,3,7,10,26,0.12,"$800,000",2,6,7,14,26,9,9
"Torey Krug","BOS","D","Left",61,9,40,49,144,0.06,"$5,000,000",33,48,22,36,70,48,-4
"Tomas Tatar","MTL","W","Left",68,22,39,61,162,0.14,"$5,500,000",36,29,31,79,62,24,5
"Tomas Nosek","VGK","W","Left",68,8,7,15,93,0.09,"$1,000,000",20,16,22,91,108,38,-2
"Tomas Jurco","EDM","W","Left",12,0,2,2,7,0,"$750,000",4,2,6,4,20,3,1
"Tomas Hertl","S.J","C","Left",48,16,20,36,117,0.14,"$6,250,000",16,18,25,29,46,25,-18
"Tom Wilson","WSH","W","Right",68,21,23,44,154,0.14,"$4,500,000",93,40,25,253,90,58,-3
"Tom Kuhnhackl","NYI","W","Left",29,3,3,6,28,0.11,"$850,000",2,11,4,31,21,22,-4
"TJ Brodie","CGY","D","Left",63,4,15,19,65,0.06,"$4,838,000",36,52,34,20,88,87,7
"Timo Meier","S.J","W","Left",70,22,27,49,199,0.11,"$4,000,000",42,31,39,155,106,38,-22
"Tim Schaller","L.A, VAN","C","Left",55,5,1,6,49,0.1,"$1,900,000",14,9,14,51,39,28,-14
"Tim Heed","S.J","D","Right",38,1,4,5,44,0.02,"$960,000",2,17,10,16,31,30,-10
"Teuvo Teravainen","CAR","W","Left",68,15,48,63,182,0.08,"$6,250,000",8,44,44,18,39,30,20
"Teddy Blueger","PIT","C","Left",69,9,13,22,102,0.09,"$750,000",25,22,29,83,107,35,2
"Taylor Hall","ARI, N.J","W","Left",65,16,36,52,232,0.07,"$6,000,000",34,52,41,47,110,29,-14
"Taylor Fedun","DAL","D","Right",27,2,7,9,40,0.05,"$700,000",8,12,2,16,24,19,3
"Tanner Pearson","VAN","W","Left",69,21,24,45,164,0.13,"$3,850,000",27,33,37,96,82,40,-4
"T.J. Oshie","WSH","W","Right",69,26,23,49,133,0.2,"$6,500,000",26,45,42,90,80,58,4
"Sven Baertschi","VAN","W","Left",6,0,2,2,7,0,"$3,700,000",4,1,1,5,3,0,-2
"Steven Stamkos","T.B","C","Right",57,29,37,66,176,0.16,"$9,500,000",22,33,24,69,54,38,14
"Steven Kampfer","BOS","D","Right",10,0,2,2,13,0,"$800,000",2,1,4,15,16,8,2
"Steven Fogarty","NYR","C","Right",7,0,0,0,2,0,"$700,000",0,2,2,4,3,4,-1
"Stephen Johns","DAL","D","Right",17,2,3,5,30,0.07,"$2,800,000",10,11,5,50,24,20,0
"Stefan Matteau","CBJ","C","Left",9,2,1,3,18,0.11,"$700,000",5,1,2,27,11,10,0
"Sonny Milano","ANA, CBJ","W","Left",55,7,16,23,75,0.09,"$874,125",26,30,22,26,85,13,-7
"Slater Koekkoek","CHI","D","Left",42,1,9,10,47,0.02,"$925,000",42,27,9,64,71,58,3
"Sidney Crosby","PIT","C","Left",41,16,31,47,109,0.15,"$9,000,000",15,25,26,28,35,17,-8
"Sheldon Dries","COL","C","Left",5,0,0,0,2,0,"$735,000",0,1,0,16,4,2,-2
"Shea Weber","MTL","D","Right",65,15,21,36,185,0.08,"$6,000,000",33,79,18,112,62,114,8
"Shea Theodore","VGK","D","Left",71,13,33,46,219,0.06,"$5,200,000",25,54,55,20,102,69,12
"Shayne Gostisbehere","PHI","D","Left",41,5,7,12,73,0.07,"$5,250,000",20,27,9,14,32,37,-4
"Seth Jones","CBJ","D","Right",56,6,24,30,126,0.05,"$5,400,000",20,37,29,62,92,123,10
"Sebastian Aho","CAR","C","Left",68,38,28,66,206,0.18,"$12,000,000",26,58,71,55,68,20,10
"Sean Monahan","CGY","C","Left",70,22,26,48,166,0.13,"$6,750,000",25,36,43,65,30,22,-16
"Sean Kuraly","BOS","C","Left",70,6,17,23,95,0.06,"$1,475,000",34,27,28,145,82,31,-2
"Sean Couturier","PHI","C","Left",69,22,37,59,185,0.12,"$4,500,000",30,36,40,60,103,26,21
"Scott Wilson","BUF","W","Left",6,1,1,2,8,0.13,"$1,100,000",2,0,5,3,7,0,1
"Scott Mayfield","NYI","D","Right",68,5,8,13,98,0.05,"$1,200,000",53,70,21,93,79,117,8
"Scott Laughton","PHI","W","Left",49,13,14,27,74,0.18,"$2,300,000",26,21,22,109,35,26,13
"Scott Harrington","CBJ","D","Left",38,1,7,8,37,0.03,"$1,600,000",16,9,5,46,65,48,-3
"Samuel Morin","PHI","D","Left",9,0,0,0,0,0,"$700,000",0,2,1,2,4,0,-1
"Sami Vatanen","N.J","D","Right",47,5,18,23,95,0.05,"$4,500,000",22,24,14,50,51,80,-12
"Sam Reinhart","BUF","C","Right",69,22,28,50,144,0.15,"$3,750,000",20,33,21,36,81,27,-15
"Sam Gagner","DET, EDM","C","Right",42,6,7,13,79,0.08,"$3,200,000",12,21,12,22,35,10,-10
"Sam Carrick","ANA","C","Right",9,1,1,2,16,0.06,"$700,000",0,5,1,13,21,8,-3
"Sam Bennett","CGY","C","Left",52,8,4,12,82,0.1,"$2,550,000",36,22,19,101,37,13,-1
